comp_name,tittle_job,tittle_url
Capgemini Vietnam,RPA Internship Developer(MỚI),https://www.vietnamworks.com/rpa-internship-developer-1639359-jv/?source=searchResults&searchType=2&placement=1639360&sortBy=date
Golden Gate Trade & Service JSC,Senior Investment Manager(MỚI),https://www.vietnamworks.com/senior-investment-manager-5-1-1639337-jv/?source=searchResults&searchType=2&placement=1639338&sortBy=date
Công Ty TNHH Dược Phẩm Hisamitsu Việt Nam,"Trình Dược Viên OTC (Phú Yên, Cần Thơ, Hà Tĩnh)(MỚI)",https://www.vietnamworks.com/trinh-duoc-vien-otc-phu-yen-can-tho-ha-tinh-1642412-jv/?source=searchResults&searchType=2&placement=1642413&sortBy=date
Công Ty Cổ Phần Tập Đoàn Masterise,Property Manager(MỚI),https://www.vietnamworks.com/property-manager-62-1644364-jv/?source=searchResults&searchType=2&placement=1644365&sortBy=date
Công Ty Cổ Phần Bảo Hiểm Opes,Giám Đốc Vận Hành Nghiệp Vụ Bảo Hiểm(MỚI),https://www.vietnamworks.com/giam-doc-van-hanh-nghiep-vu-bao-hiem-1642950-jv/?source=searchResults&searchType=2&placement=1642951&sortBy=date
Công Ty Cổ Phần Bảo Hiểm Opes,Chuyên Viên Cao Cấp Quản Trị Rủi Ro(MỚI),https://www.vietnamworks.com/chuyen-vien-cao-cap-quan-tri-rui-ro-6-1642969-jv/?source=searchResults&searchType=2&placement=1642970&sortBy=date
Bosch Global Software Technologies Company Limited,Oracle PL/SQL Developer(MỚI),https://www.vietnamworks.com/oracle-pl-sql-developer-5-1-1-1641995-jv/?source=searchResults&searchType=2&placement=1641996&sortBy=date
"Aeon Mall Vietnam Co., Ltd",Sales Officer ( Aeon Mall Ha Dong - 213)(MỚI),https://www.vietnamworks.com/sales-officer-aeon-mall-ha-dong-213-1638954-jv/?source=searchResults&searchType=2&placement=1638955&sortBy=date
Công Ty Tài Chính Trách Nhiệm Hữu Hạn MB Shinsei (Mcredit),Chuyên Viên Cao Cấp Phát Triển Sản Phẩm Thẻ(MỚI),https://www.vietnamworks.com/chuyen-vien-cao-cap-phat-trien-san-pham-the-3-1646616-jv/?source=searchResults&searchType=2&placement=1646617&sortBy=date
"Tek Experts Co., Ltd",Microsoft Dynamics Team Manager(MỚI),https://www.vietnamworks.com/microsoft-dynamics-team-manager-1628284-jv/?source=searchResults&searchType=2&placement=1628285&sortBy=date
Công Ty CP Dịch Vụ Giao Nhận Vận Tải Quốc Tế,Nhân Viên Kinh Doanh Logistics Overseas(MỚI),https://www.vietnamworks.com/nhan-vien-kinh-doanh-logistics-overseas-1577826-jv/?source=searchResults&searchType=2&placement=1577827&sortBy=date
Công Ty Cổ Phần Giải Pháp Gene,Chuyên Viên Khách Hàng Doanh Nghiệp (B2B)(MỚI),https://www.vietnamworks.com/chuyen-vien-khach-hang-doanh-nghiep-b2b-1-1646259-jv/?source=searchResults&searchType=2&placement=1646260&sortBy=date
Công Ty Cổ Phần Axiang Việt Nam,Nhân Viên Tư Vấn Bán Hàng B2C/ B2B(MỚI),https://www.vietnamworks.com/nhan-vien-tu-van-ban-hang-b2c-b2b-1637819-jv/?source=searchResults&searchType=2&placement=1637820&sortBy=date
One Mount,Giám Sát Bán Hàng (Customer Development Manager)(MỚI),https://www.vietnamworks.com/giam-sat-ban-hang-customer-development-manager-1643402-jv/?source=searchResults&searchType=2&placement=1643403&sortBy=date
Công Ty TNHH Delta Galil Việt Nam,Deputy QC (Phó Phòng Bộ Phận QC)(MỚI),https://www.vietnamworks.com/deputy-qc-pho-phong-bo-phan-qc-1643382-jv/?source=searchResults&searchType=2&placement=1643383&sortBy=date
